country,city,perform,latitude,longitude,ip
United States,San Jose,Unban,37.3387,-121.8914,205.185.125.216
Germany,None,Unban,51.2993,9.491,185.220.101.205
France,None,Unban,48.8582,2.3387,51.75.64.187
France,None,Unban,48.8582,2.3387,45.154.168.201
United States,None,Unban,37.751,-97.822,23.129.64.205
United States,None,Unban,37.751,-97.822,23.129.64.186
Germany,None,Unban,51.2993,9.491,185.170.114.25
United States,None,Unban,37.751,-97.822,23.129.64.208
Netherlands,Haarlem,Unban,52.3812,4.6361,51.15.43.205
Germany,None,Unban,51.2993,9.491,185.220.102.247
Sweden,None,Unban,59.3247,18.056,62.102.148.68
Netherlands,s-Hertogenbosch,Unban,51.6906,5.2755,77.247.181.162
Germany,None,Unban,51.2993,9.491,185.220.101.8
Switzerland,Zurich,Unban,47.394,8.445,195.206.105.217
Sweden,None,Unban,59.3247,18.056,171.25.193.20
Germany,None,Unban,51.2993,9.491,185.220.101.16
United States,None,Unban,37.751,-97.822,23.160.208.248
Germany,None,Unban,51.2993,9.491,185.220.102.245
United States,Las Vegas,Unban,36.1685,-115.1164,209.141.40.46
United States,None,Unban,37.751,-97.822,107.189.11.163
Germany,None,Unban,51.2993,9.491,185.220.102.251
Ukraine,Kharkiv,Unban,49.982,36.2566,178.165.72.177
United States,None,Unban,37.751,-97.822,162.247.72.199
United States,None,Unban,37.751,-97.822,162.247.74.200
United States,None,Unban,37.751,-97.822,162.247.74.206
France,None,Unban,48.8582,2.3387,51.75.52.118
Netherlands,Amsterdam,Found,52.3759,4.8975,192.42.116.19
Netherlands,Amsterdam,Ban,52.3759,4.8975,192.42.116.19
Germany,None,Found,51.2993,9.491,185.220.101.207
Germany,None,Ban,51.2993,9.491,185.220.101.207
Netherlands,Amsterdam,Unban,52.3759,4.8975,192.42.116.19
Germany,None,Unban,51.2993,9.491,185.220.101.207
Netherlands,Amsterdam,Found,52.3759,4.8975,192.42.116.16
Netherlands,Amsterdam,Ban,52.3759,4.8975,192.42.116.16
France,Paris,Found,48.8579,2.3491,212.83.166.62
France,Paris,Ban,48.8579,2.3491,212.83.166.62
France,Paris,already banned,48.8579,2.3491,212.83.166.62
Sweden,None,Found,59.3247,18.056,171.25.193.25
Sweden,None,Ban,59.3247,18.056,171.25.193.25
United States,None,Found,37.751,-97.822,162.247.74.213
United States,None,Ban,37.751,-97.822,162.247.74.213
United States,None,already banned,37.751,-97.822,162.247.74.213
United States,None,Found,37.751,-97.822,162.247.74.201
United States,None,Ban,37.751,-97.822,162.247.74.201
United States,None,already banned,37.751,-97.822,162.247.74.201
France,None,Found,48.8582,2.3387,212.47.229.4
France,None,Ban,48.8582,2.3387,212.47.229.4
Netherlands,Amsterdam,Found,52.3759,4.8975,94.102.51.78
Netherlands,Amsterdam,Ban,52.3759,4.8975,94.102.51.78
Germany,None,already banned,51.2993,9.491,185.220.101.8
United States,None,Found,37.751,-97.822,23.129.64.192
United States,None,Ban,37.751,-97.822,23.129.64.192
Germany,None,Found,51.2993,9.491,185.220.101.211
Germany,None,Ban,51.2993,9.491,185.220.101.211
Germany,None,already banned,51.2993,9.491,185.220.101.211
United States,None,Found,37.751,-97.822,162.247.74.74
United States,None,Ban,37.751,-97.822,162.247.74.74
United States,None,Found,37.751,-97.822,23.129.64.216
United States,None,Ban,37.751,-97.822,23.129.64.216
France,Saint-Maur-des-Foss?�s,Found,48.7954,2.4947,178.20.55.16
France,Saint-Maur-des-Foss?�s,Ban,48.7954,2.4947,178.20.55.16
United States,Cambridge,Found,42.3649,-71.0987,18.27.197.252
United States,Cambridge,Ban,42.3649,-71.0987,18.27.197.252
Sweden,None,Found,59.3247,18.056,193.239.232.101
Sweden,None,Ban,59.3247,18.056,193.239.232.101
Germany,None,Found,51.2993,9.491,185.220.101.195
Germany,None,Ban,51.2993,9.491,185.220.101.195
France,None,Found,48.8582,2.3387,145.239.92.26
France,None,Ban,48.8582,2.3387,145.239.92.26
France,None,Found,48.8582,2.3387,217.182.192.217
France,None,Ban,48.8582,2.3387,217.182.192.217
France,None,already banned,48.8582,2.3387,217.182.192.217
Denmark,None,Found,55.7123,12.0564,185.38.175.71
Denmark,None,Ban,55.7123,12.0564,185.38.175.71
Germany,None,Found,51.2993,9.491,185.220.102.252
Germany,None,Ban,51.2993,9.491,185.220.102.252
Luxembourg,None,Found,49.4958,5.9806,85.93.218.204
Luxembourg,None,Ban,49.4958,5.9806,85.93.218.204
United States,None,already banned,37.751,-97.822,107.189.11.163
Canada,None,Found,43.6319,-79.3716,198.96.155.3
Canada,None,Ban,43.6319,-79.3716,198.96.155.3
United States,None,Found,37.751,-97.822,162.247.74.202
United States,None,Ban,37.751,-97.822,162.247.74.202
Romania,None,Found,45.9968,24.997,91.250.242.12
Romania,None,Ban,45.9968,24.997,91.250.242.12
France,None,Found,48.8582,2.3387,79.137.79.167
France,None,Ban,48.8582,2.3387,79.137.79.167
Germany,None,Found,51.2993,9.491,185.220.102.253
Germany,None,Ban,51.2993,9.491,185.220.102.253
Romania,None,Found,45.9968,24.997,188.213.49.176
Romania,None,Ban,45.9968,24.997,188.213.49.176
Romania,None,already banned,45.9968,24.997,188.213.49.176
United States,None,Found,37.751,-97.822,162.247.74.217
United States,None,Ban,37.751,-97.822,162.247.74.217
France,None,Found,48.8582,2.3387,145.239.82.87
France,None,Ban,48.8582,2.3387,145.239.82.87
Netherlands,Amsterdam,Found,52.3759,4.8975,192.42.116.17
Netherlands,Amsterdam,Ban,52.3759,4.8975,192.42.116.17
Germany,None,Found,51.2993,9.491,185.220.102.4
Germany,None,Ban,51.2993,9.491,185.220.102.4
Netherlands,Amsterdam,Unban,52.3759,4.8975,192.42.116.16
France,Paris,Unban,48.8579,2.3491,212.83.166.62
Sweden,None,Unban,59.3247,18.056,171.25.193.25
United States,None,Unban,37.751,-97.822,162.247.74.213
United States,None,Unban,37.751,-97.822,162.247.74.201
France,None,Unban,48.8582,2.3387,212.47.229.4
Netherlands,Amsterdam,Unban,52.3759,4.8975,94.102.51.78
United States,None,Unban,37.751,-97.822,23.129.64.192
Germany,None,Unban,51.2993,9.491,185.220.101.211
United States,None,Unban,37.751,-97.822,162.247.74.74
United States,None,Unban,37.751,-97.822,23.129.64.216
France,Saint-Maur-des-Foss?�s,Unban,48.7954,2.4947,178.20.55.16
United States,Cambridge,Unban,42.3649,-71.0987,18.27.197.252
Sweden,None,Unban,59.3247,18.056,193.239.232.101
Germany,None,Unban,51.2993,9.491,185.220.101.195
France,None,Unban,48.8582,2.3387,145.239.92.26
France,None,Unban,48.8582,2.3387,217.182.192.217
Denmark,None,Unban,55.7123,12.0564,185.38.175.71
Germany,None,Unban,51.2993,9.491,185.220.102.252
Luxembourg,None,Unban,49.4958,5.9806,85.93.218.204
Canada,None,Unban,43.6319,-79.3716,198.96.155.3
United States,None,Unban,37.751,-97.822,162.247.74.202
Romania,None,Unban,45.9968,24.997,91.250.242.12
France,None,Unban,48.8582,2.3387,79.137.79.167
Germany,None,Unban,51.2993,9.491,185.220.102.253
Romania,None,Unban,45.9968,24.997,188.213.49.176
United States,None,Unban,37.751,-97.822,162.247.74.217
France,None,Unban,48.8582,2.3387,145.239.82.87
Netherlands,Amsterdam,Unban,52.3759,4.8975,192.42.116.17
