date,action,server_port,message,ssh,perform,ip,asn,network_provider,domain,route,type,calling_code,city,continent_code,continent,country_code,country,is_eu,latitude,longitude,postal,region,region_code,is_tor,is_proxy,is_anonymous,is_known_attacker,is_known_abuser,is_threat,is_bogon,status
2020-10-04 10:50:24.128,filter,519,INFO,sshd,Found,195.54.160.183, None, None, None, None, None,7,None,EU,Europe,RU,Russia,False,55.7386,37.6068,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 10:50:24.172,filter,519,INFO,sshd,Found,195.54.160.183, None, None, None, None, None,7,None,EU,Europe,RU,Russia,False,55.7386,37.6068,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 10:50:24.418,actions,519,NOTICE,sshd,Ban,195.54.160.183, None, None, None, None, None,7,None,EU,Europe,RU,Russia,False,55.7386,37.6068,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 10:50:25.974,filter,519,INFO,sshd,Found,195.54.160.183, None, None, None, None, None,7,None,EU,Europe,RU,Russia,False,55.7386,37.6068,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:03:40.863,filter,519,INFO,sshd,Found,81.7.10.115,AS35366,ISPpro Internet KG,isppro.de,81.7.0.0/19,hosting,49,None,EU,Europe,DE,Germany,True,51.2993,9.491,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:03:40.869,filter,519,INFO,sshd,Found,81.7.10.115,AS35366,ISPpro Internet KG,isppro.de,81.7.0.0/19,hosting,49,None,EU,Europe,DE,Germany,True,51.2993,9.491,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:03:40.880,actions,519,NOTICE,sshd,Ban,81.7.10.115,AS35366,ISPpro Internet KG,isppro.de,81.7.0.0/19,hosting,49,None,EU,Europe,DE,Germany,True,51.2993,9.491,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:03:42.827,filter,519,INFO,sshd,Found,81.7.10.115,AS35366,ISPpro Internet KG,isppro.de,81.7.0.0/19,hosting,49,None,EU,Europe,DE,Germany,True,51.2993,9.491,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:18:33.503,actions,519,NOTICE,sshd,Unban,64.227.125.204, None, None, None, None, None,49,Frankfurt am Main,EU,Europe,DE,Germany,True,50.1188,8.6843,60313,Hesse,HE,False,False,False,False,False,False,False,200
2020-10-04 12:22:12.711,filter,519,INFO,sshd,Found,141.98.9.163,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:12.713,filter,519,INFO,sshd,Found,141.98.9.163,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:13.078,actions,519,NOTICE,sshd,Ban,141.98.9.163,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:14.714,filter,519,INFO,sshd,Found,141.98.9.163,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:18.621,filter,519,INFO,sshd,Found,141.98.9.164,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:18.621,filter,519,INFO,sshd,Found,141.98.9.164,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:19.104,actions,519,NOTICE,sshd,Ban,141.98.9.164,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:20.602,filter,519,INFO,sshd,Found,141.98.9.165,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:20.607,filter,519,INFO,sshd,Found,141.98.9.165,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:21.123,actions,519,NOTICE,sshd,Ban,141.98.9.165,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:22.212,filter,519,INFO,sshd,Found,141.98.9.165,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:24.917,filter,519,INFO,sshd,Found,141.98.9.166,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:24.917,filter,519,INFO,sshd,Found,141.98.9.166,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:25.160,actions,519,NOTICE,sshd,Ban,141.98.9.166,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:26.575,filter,519,INFO,sshd,Found,141.98.9.166,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:29.282,filter,519,INFO,sshd,Found,141.98.9.167,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:29.388,actions,519,NOTICE,sshd,Ban,141.98.9.167,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-10-04 12:22:30.887,filter,519,INFO,sshd,Found,141.98.9.167,AS133398,Tele Asia Limited,tele-asia.net,141.98.9.0/24,isp,370,None,EU,Europe,LT,Republic of Lithuania,True,56.0,24.0,None,None,None,False,False,False,False,False,False,False,200
