date,action,server_port,message,ssh,perform,ip,asn,network_provider,domain,route,type,calling_code,city,continent_code,continent,country_code,country,is_eu,latitude,longitude,postal,region,region_code,is_tor,is_proxy,is_anonymous,is_known_attacker,is_known_abuser,is_threat,is_bogon,status
2020-09-08 23:49:00.950,filter,519,INFO,sshd,Found,197.156.65.138,AS24757,Ethio Telecom,ethiotelecom.et,197.156.65.0/24,isp,251,None,AF,Africa,ET,Ethiopia,False,8.0,38.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-08 23:49:01.414,actions,519,NOTICE,sshd,Ban,197.156.65.138,AS24757,Ethio Telecom,ethiotelecom.et,197.156.65.0/24,isp,251,None,AF,Africa,ET,Ethiopia,False,8.0,38.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-08 23:49:03.675,filter,519,INFO,sshd,Found,197.156.65.138,AS24757,Ethio Telecom,ethiotelecom.et,197.156.65.0/24,isp,251,None,AF,Africa,ET,Ethiopia,False,8.0,38.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-08 23:49:04.040,actions,519,NOTICE,sshd,already banned,197.156.65.138,AS24757,Ethio Telecom,ethiotelecom.et,197.156.65.0/24,isp,251,None,AF,Africa,ET,Ethiopia,False,8.0,38.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-09 02:49:04.466,actions,519,NOTICE,sshd,Unban,197.156.65.138,AS24757,Ethio Telecom,ethiotelecom.et,197.156.65.0/24,isp,251,None,AF,Africa,ET,Ethiopia,False,8.0,38.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-09 11:46:01.408,filter,519,INFO,sshd,Found,168.128.70.151,AS44568,NTT Communications Cloud Infrastructure Services Inc,ntt.com,168.128.70.0/24,isp,27,None,AF,Africa,ZA,South Africa,False,-29.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-09 11:46:01.437,actions,519,NOTICE,sshd,Ban,168.128.70.151,AS44568,NTT Communications Cloud Infrastructure Services Inc,ntt.com,168.128.70.0/24,isp,27,None,AF,Africa,ZA,South Africa,False,-29.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-09 11:46:04.120,filter,519,INFO,sshd,Found,168.128.70.151,AS44568,NTT Communications Cloud Infrastructure Services Inc,ntt.com,168.128.70.0/24,isp,27,None,AF,Africa,ZA,South Africa,False,-29.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-09 14:46:03.345,actions,519,NOTICE,sshd,Unban,168.128.70.151,AS44568,NTT Communications Cloud Infrastructure Services Inc,ntt.com,168.128.70.0/24,isp,27,None,AF,Africa,ZA,South Africa,False,-29.0,24.0,None,None,None,False,False,False,False,False,False,False,200
2020-09-09 14:47:19.292,filter,519,INFO,sshd,Found,168.128.70.151,AS44568,NTT Communications Cloud Infrastructure Services Inc,ntt.com,168.128.70.0/24,isp,27,None,AF,Africa,ZA,South Africa,False,-29.0,24.0,None,None,None,False,False,False,False,False,False,False,200
