asn,network_provider,domain,route,type,country
AS198093,Foreningen for digitala fri- och rattigheter,dfri.se,171.25.193.0/24,business,187
AS53667,FranTech Solutions,frantech.ca,209.141.32.0/19,hosting,211
AS45903,CMC Telecom Infrastructure Company,cmctelecom.vn,203.205.36.0/23,isp,133
AS34700,MAXNET TELECOM,maxnet.ua,178.165.64.0/18,hosting,179
AS4224,The Calyx Institute,calyxinstitute.org,162.247.72.0/24,edu,211
AS9009,M247 Ltd,m247.com,195.206.107.0/24,hosting,184
AS4224,The Calyx Institute,calyxinstitute.org,162.247.74.0/24,edu,211
AS17622,China Unicom Guangzhou network,mychinaunicom.com,112.94.32.0/19,isp,124
AS2561,Egyptian Universities Network (EUN),portal.eun.eg,193.227.16.0/24,isp,224
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,139.155.0.0/20,isp,124
AS17072,TOTAL PLAY TELECOMUNICACIONES SA DE CV,totalplay.com.mx,187.188.206.0/24,hosting,214
AS16276,OVH SAS,ovh.com,51.79.128.0/17,hosting,130
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,106.12.208.0/20,hosting,124
AS14061,DigitalOcean,digitalocean.com,134.209.144.0/20,hosting,128
AS134774,CHINANET Guangdong province Shenzhen MAN network,None,113.104.192.0/18,isp,124
AS133311,Maxtech Broadband Pvt Ltd,maxtechgroup.in,103.199.98.0/24,isp,128
AS4812,China Telecom (Group),chinatelecom-h.com,114.84.0.0/16,isp,124
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,124.152.0.0/16,isp,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,148.70.176.0/20,isp,124
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,140.143.148.0/22,hosting,124
AS14522,Satnet,satnet.net,190.155.104.0/22,isp,165
AS10175,None,None,122.202.32.0/22,isp,125
AS16276,OVH SAS,ovh.com,176.31.0.0/16,hosting,175
 None, None, None, None, None,182
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,62.234.144.0/20,isp,124
AS16276,OVH SAS,ovh.com,54.37.0.0/16,hosting,175
 None, None, None, None, None,225
AS16276,OVH SAS,ovh.com,51.83.0.0/16,hosting,175
AS12392,Brutele SC,brutele.be,82.212.128.0/20,isp,189
AS16276,OVH SAS,ovh.com,51.38.0.0/16,hosting,183
AS7713,PT Telekomunikasi Indonesia,telkom.co.id,36.81.200.0/22,isp,132
AS21367,Wiland Ltd,wiland.ru,46.148.192.0/20,isp,185
AS58593,Shanghai Blue Cloud Technology Co,21vbluecloud.com,139.219.0.0/17,hosting,124
AS4812,China Telecom (Group),chinatelecom-h.com,58.33.0.0/16,isp,124
AS4134,Jin-rong Street,None,117.80.0.0/12,isp,124
AS16276,OVH SAS,ovh.com,158.69.0.0/16,hosting,210
AS1916,Associacao Rede Nacional de Ensino e Pesquisa,rnp.br,200.137.64.0/19,hosting,166
AS14061,DigitalOcean,digitalocean.com,95.85.0.0/18,hosting,182
AS6830,Liberty Global B.V.,libertyglobal.com,85.186.0.0/17,isp,186
AS38365,Beijing Baidu Netcom Science and Technology Co.,cnnic.cn,180.76.178.0/23,hosting,124
AS16276,OVH SAS,ovh.com,46.105.0.0/16,hosting,175
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,220.249.64.0/18,isp,124
AS3462,Data Communication Business Group,cht.com.tw,61.221.0.0/16,isp,127
AS262497,JNNET TELECOMUNICACOES EIRELI - EPP,None,187.109.253.0/24,isp,166
AS28668,Silva & Silveira Provedor de Internet Ltda,lpnet.com.br,189.50.104.0/21,isp,166
AS5391,Hrvatski Telekom d.d.,ht.hr,78.0.0.0/16,isp,190
AS12876,ONLINE S.A.S.,online.net,62.210.0.0/16,hosting,175
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,139.186.0.0/20,hosting,124
 None, None, None, None, None,176
AS42864,Giganet Internet Szolgaltato Kft,giganet.hu,45.95.168.0/22,isp,190
AS58906,Shivansh Infotech pvt Ltd,shivanshinfotech.in,103.47.14.0/24,isp,128
AS38732,CMC Telecom Infrastructure Company,cmctelecom.vn,103.63.109.0/24,hosting,133
AS14061,DigitalOcean,digitalocean.com,178.128.224.0/20,hosting,210
AS14061,DigitalOcean,digitalocean.com,107.170.0.0/17,hosting,211
AS14061,DigitalOcean,digitalocean.com,165.227.176.0/20,hosting,211
AS10103,HK Broadband Network Ltd.,hkbn.net,165.84.180.0/23,isp,134
AS14061,DigitalOcean,digitalocean.com,159.65.128.0/20,hosting,130
AS5650,Frontier Communications of America,frontier.com,47.184.0.0/14,isp,211
AS15169,Google LLC,google.com,34.96.0.0/14,hosting,134
AS132203,Tencent Building, tencent.com,119.28.160.0/23,hosting,125
AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,101.64.0.0/13,isp,124
AS14061,DigitalOcean,digitalocean.com,104.248.128.0/20,hosting,177
AS53172,Next Telecomunicacoes do Brasil LTDA,nexttelecom.net.br,143.137.8.0/23,isp,166
AS10318,Telecom Argentina S.A.,telecom.com.ar,181.164.128.0/19,isp,169
AS16629,CTC. CORP S.A. (TELEFONICA EMPRESAS),None,201.236.176.0/21,isp,168
AS262808,Brasilnet Telecomunicacoes Ltda ME,brasilnet.net.br,189.90.114.0/24,isp,166
AS17877,None,None,122.199.128.0/17,isp,125
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,49.235.208.0/20,isp,124
AS31195,PJSC MegaFon,megafon.com,31.173.236.0/23,isp,185
AS14080,Telmex Colombia S.A.,telmexla.net.co,181.49.96.0/19,isp,167
AS265949,INFO TELECOM INTERNET LTDA,infotelecom.al,164.163.98.0/23,isp,166
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,49.233.208.0/20,isp,124
AS134774,CHINANET Guangdong province Shenzhen MAN network,None,116.6.18.0/23,isp,124
AS39184,UltraNET Ltd,ultranet.biz,5.181.31.0/24,isp,191
AS198203,RouteLabel V.O.F.,weservit.nl,81.4.124.0/22,isp,182
AS14061,DigitalOcean,digitalocean.com,165.227.48.0/20,hosting,211
AS45090,Shenzhen Tencent Computer Systems Company Limited,tencent.com,134.175.48.0/20,hosting,124
AS8075,Microsoft Corporation,microsoft.com,23.96.0.0/14,hosting,182
AS36947,Telecom Algeria,algerietelecom.dz,41.111.128.0/17,isp,226
AS268789,MUSTANET PROVEDOR DE INTERNET EIRELI,mustanet.com.br,45.173.28.0/24,isp,166
AS14061,DigitalOcean,digitalocean.com,162.243.0.0/17,hosting,211
