latitude,longitude,country
36.4234,-6.1517,184
13.7594,100.4889,131
38.8511,115.4903,124
21.2749,106.1933,133
41.3888,2.1590000000000003,184
-33.8591,151.2002,250
44.5715,129.3854,124
4.5981,-74.0799,167
51.5406,46.0086,185
57.7833,16.1833,187
37.3824,-5.9761,184
32.1679,34.834,144
57.9,25.3167,197
37.825,-87.5655,211
25.0833,-77.35,216
34.6874,33.0366,192
24.1469,120.6839,127
53.4186,59.0472,185
37.8916,-4.7727,184
-2.1664,-79.9011,165
10.2494,-67.5945,172
-6.3542,105.9965,132
-27.4833,-55.8333,169
51.5,-0.1457,183
38.1385,-92.6654,211
48.7808,-123.7037,210
-34.6,-58.6333,169
41.0,64.0,139
25.7202,-100.2135,214
-37.7907,145.0839,250
11.2725,77.5857,128
-32.8833,-68.8167,169
-7.3263,108.221,132
4.3144,-72.0777,167
3.1649,101.723,136
-34.6,-58.45,169
10.6833,106.7667,133
51.5081,-0.0887,183
21.2092,81.4285,128
56.8575,60.6125,185
-12.8665,-38.4858,166
14.1,108.8,133
29.5542,-95.7325,211
36.6621,117.0104,124
31.25,121.4892,124
25.3924,68.3737,145
48.9065,2.2483,175
45.6486,25.6061,186
24.6537,46.7152,146
42.8864,-78.8784,211
23.7272,90.4093,141
-17.0,-65.0,173
47.5136,42.1514,185
55.7679,49.1631,185
11.6538,78.1554,128
-10.0699,-68.1553,166
3.1071,101.6139,136
19.2014,72.968,128
-0.2143,-78.5017,165
53.9,27.5667,198
47.4984,19.0404,199
13.8177,100.7465,131
48.7967,2.3338,175
9.0833,7.5333,231
45.125,14.5235,190
50.0971,8.5952,177
35.6854,-88.8281,211
30.9161,121.4494,124
20.0063,77.006,128
38.5482,-90.3298,211
37.3325,114.7014,124
35.1638,33.3639,192
37.0108,127.2703,125
22.3167,114.1667,134
42.6833,23.3167,191
51.4473,7.4713,177
37.4989,126.7831,125
57.7072,11.9668,187
37.5527,127.1455,125
24.0,121.0,127
43.2159,23.5579,191
22.2,113.55,147
37.8944,127.1992,125
37.5894,126.7692,125
2.8526,101.632,136
22.3,114.1667,134
22.9908,120.2133,127
49.7867,6.0961,196
59.9452,10.7559,200
48.8175,2.3167,175
59.8457,10.7823,200
31.3041,120.5954,124
34.0368,-5.0008,227
48.4735,35.046,179
54.2139,49.6184,185
46.2389,14.3556,201
22.4,114.2333,134
57.8,13.0,187
43.3183,13.6775,176
37.3514,127.9453,125
57.721000000000004,12.9401,187
37.4902,126.7151,125
