date 1,action,server port,message,ssh,perform,ip,date 2
"2020-09-20 02:28:40,522",actions,519,NOTICE,sshd,Unban,49.234.126.35,
"2020-09-20 02:28:44,987",actions,519,NOTICE,sshd,Unban,134.209.103.181,
"2020-09-20 02:29:25,062",actions,519,NOTICE,sshd,Unban,218.92.0.212,
"2020-09-20 02:29:32,351",filter,519,INFO,sshd,Found,206.167.33.33,9/20/2020 2:29
"2020-09-20 02:29:33,101",actions,519,NOTICE,sshd,Ban,206.167.33.33,
"2020-09-20 02:29:34,187",filter,519,INFO,sshd,Found,206.167.33.33,9/20/2020 2:29
"2020-09-20 02:32:15,338",filter,519,INFO,sshd,Found,222.186.175.182,9/20/2020 2:32
"2020-09-20 02:32:15,544",actions,519,NOTICE,sshd,Ban,222.186.175.182,
"2020-09-20 02:32:17,207",filter,519,INFO,sshd,Found,222.186.175.182,9/20/2020 2:32
"2020-09-20 02:32:53,615",actions,519,NOTICE,sshd,Unban,60.219.171.134,
"2020-09-20 02:35:46,643",filter,519,INFO,sshd,Found,222.186.180.8,9/20/2020 2:35
"2020-09-20 02:35:47,073",actions,519,NOTICE,sshd,Ban,222.186.180.8,
"2020-09-20 02:35:48,494",filter,519,INFO,sshd,Found,222.186.180.8,9/20/2020 2:35
"2020-09-20 02:36:01,116",actions,519,NOTICE,sshd,Unban,112.85.42.180,
"2020-09-20 02:36:31,178",actions,519,NOTICE,sshd,Unban,45.84.196.61,
"2020-09-20 02:37:05,249",actions,519,NOTICE,sshd,Unban,91.207.40.45,
"2020-09-20 02:38:55,413",actions,519,NOTICE,sshd,Unban,112.85.42.173,
"2020-09-20 02:39:13,523",filter,519,INFO,sshd,Found,112.85.42.173,9/20/2020 2:39
"2020-09-20 02:39:13,664",actions,519,NOTICE,sshd,Ban,112.85.42.173,
"2020-09-20 02:39:16,232",filter,519,INFO,sshd,Found,112.85.42.173,9/20/2020 2:39
"2020-09-20 02:39:17,151",filter,519,INFO,sshd,Found,112.85.42.172,9/20/2020 2:39
"2020-09-20 02:39:17,688",actions,519,NOTICE,sshd,Ban,112.85.42.172,
"2020-09-20 02:39:19,873",filter,519,INFO,sshd,Found,112.85.42.172,9/20/2020 2:39
"2020-09-20 02:39:21,713",actions,519,NOTICE,sshd,Unban,51.75.16.138,
"2020-09-20 02:41:31,910",actions,519,NOTICE,sshd,Unban,94.16.115.190,
"2020-09-20 02:43:16,072",actions,519,NOTICE,sshd,Unban,211.38.132.37,
"2020-09-20 02:45:18,265",actions,519,NOTICE,sshd,Unban,41.63.0.133,
"2020-09-20 02:45:18,285",actions,519,NOTICE,sshd,Unban,45.55.41.113,
"2020-09-20 02:45:20,306",actions,519,NOTICE,sshd,Unban,222.186.173.154,
"2020-09-20 02:45:22,323",actions,519,NOTICE,sshd,Unban,66.131.216.79,
"2020-09-20 02:45:49,773",filter,519,INFO,sshd,Found,222.186.175.154,9/20/2020 2:45
"2020-09-20 02:45:50,369",actions,519,NOTICE,sshd,Ban,222.186.175.154,
"2020-09-20 02:45:50,490",filter,519,INFO,sshd,Found,222.186.175.154,9/20/2020 2:45
"2020-09-20 02:46:30,437",actions,519,NOTICE,sshd,Unban,218.92.0.165,
"2020-09-20 02:47:12,510",actions,519,NOTICE,sshd,Unban,123.59.213.68,
"2020-09-20 02:47:28,546",actions,519,NOTICE,sshd,Unban,178.128.232.28,
"2020-09-20 02:49:20,664",filter,519,INFO,sshd,Found,162.247.74.202,9/20/2020 2:49
"2020-09-20 02:49:20,717",actions,519,NOTICE,sshd,Ban,162.247.74.202,
"2020-09-20 02:49:22,272",filter,519,INFO,sshd,Found,162.247.74.202,9/20/2020 2:49
"2020-09-20 02:49:57,015",filter,519,INFO,sshd,Found,145.239.82.87,9/20/2020 2:49
"2020-09-20 02:49:57,397",actions,519,NOTICE,sshd,Ban,145.239.82.87,
"2020-09-20 02:49:58,623",filter,519,INFO,sshd,Found,145.239.82.87,9/20/2020 2:49
"2020-09-20 02:50:33,358",filter,519,INFO,sshd,Found,185.220.102.240,9/20/2020 2:50
"2020-09-20 02:50:33,464",actions,519,NOTICE,sshd,Ban,185.220.102.240,
"2020-09-20 02:50:34,970",filter,519,INFO,sshd,Found,185.220.102.240,9/20/2020 2:50
"2020-09-20 02:50:59,518",actions,519,NOTICE,sshd,Unban,111.229.168.229,
