route_id,route,
82,180.251.176.0/20,
83,157.55.0.0/16,
84,72.129.160.0/19,
85,203.158.177.0/24,
86,111.230.180.0/23,
87,51.68.0.0/16,
88,112.216.0.0/13,
89,140.143.248.0/22,
90,203.206.205.0/24,
91,106.12.32.0/23,
92,46.101.128.0/17,
93,52.224.0.0/11,
94,223.240.0.0/13,
95,145.239.0.0/16,
96,49.233.144.0/20,
97,120.131.2.0/23,
98,222.186.190.0/24,
99,149.129.224.0/19,
100,182.144.0.0/13,
101,183.160.0.0/13,
102,134.175.0.0/16,
103,89.189.176.0/20,
104,65.49.192.0/20,
105,49.232.144.0/20,
106,171.244.136.0/21,
107,167.71.208.0/20,
108,175.192.0.0/13,
109,49.235.96.0/20,
110,221.130.128.0/21,
111,223.197.192.0/19,
112,93.115.1.0/24,
113,188.131.176.0/20,
114,113.200.0.0/15,
115,193.33.240.0/24,
116,119.45.112.0/20,
117,213.193.40.0/21,
118,51.75.0.0/16,
119,104.131.0.0/18,
120,37.59.0.0/16,
121,54.38.0.0/16,
122,144.217.0.0/16,
123,217.110.0.0/15,
124,117.232.112.0/20,
125,190.56.192.0/18,
126,164.132.0.0/16,
127,49.64.0.0/11,
128,65.49.0.0/17,
129,104.224.168.0/21,
130,186.58.0.0/15,
131,52.130.64.0/19,
132,141.98.9.0/24,
133,106.13.96.0/19,
134,103.212.223.0/24,
135,119.29.16.0/23,
136,111.67.192.0/20,
137,95.181.128.0/22,
138,141.98.252.0/24,
139,185.220.102.0/24,
140,77.247.176.0/21,
141,192.42.116.0/22,
142,193.169.254.0/24,
143,104.244.75.0/24,
144,185.220.101.0/24,
145,205.185.112.0/20,
146,51.77.0.0/16,
147,23.129.64.0/24,
148,185.170.112.0/22,
149,51.15.0.0/17,
150,62.102.148.0/23,
151,195.206.105.0/24,
152,171.25.193.0/24,
153,209.141.32.0/19,
154,203.205.36.0/23,
155,178.165.64.0/18,
156,162.247.72.0/24,
157,195.206.107.0/24,
158,162.247.74.0/24,
159,112.94.32.0/19,
160,193.227.16.0/24,
161,139.155.0.0/20,
162,187.188.206.0/24,
163,51.79.128.0/17,
164,106.12.208.0/20,
165,134.209.144.0/20,
166,113.104.192.0/18,
167,103.199.98.0/24,
168,114.84.0.0/16,
169,124.152.0.0/16,
170,148.70.176.0/20,
171,140.143.148.0/22,
172,190.155.104.0/22,
173,122.202.32.0/22,
174,176.31.0.0/16,
175,62.234.144.0/20,
176,54.37.0.0/16,
177,51.83.0.0/16,
178,82.212.128.0/20,
179,36.81.200.0/22,
180,46.148.192.0/20,
181,139.219.0.0/17,
182,58.33.0.0/16,
183,117.80.0.0/12,
184,158.69.0.0/16,
185,200.137.64.0/19,
186,95.85.0.0/18,
187,85.186.0.0/17,
188,180.76.178.0/23,
189,46.105.0.0/16,
190,220.249.64.0/18,
191,61.221.0.0/16,
192,187.109.253.0/24,
193,189.50.104.0/21,
194,78.0.0.0/16,
195,62.210.0.0/16,
196,139.186.0.0/20,
197,45.95.168.0/22,
198,103.47.14.0/24,
199,103.63.109.0/24,
200,178.128.224.0/20,
201,107.170.0.0/17,
202,165.227.176.0/20,
203,165.84.180.0/23,
204,159.65.128.0/20,
205,47.184.0.0/14,
206,34.96.0.0/14,
207,119.28.160.0/23,
208,101.64.0.0/13,
209,104.248.128.0/20,
210,143.137.8.0/23,
211,181.164.128.0/19,
212,201.236.176.0/21,
213,189.90.114.0/24,
214,122.199.128.0/17,
215,49.235.208.0/20,
216,31.173.236.0/23,
217,181.49.96.0/19,
218,164.163.98.0/23,
219,49.233.208.0/20,
220,116.6.18.0/23,
221,5.181.31.0/24,
222,81.4.124.0/22,
223,165.227.48.0/20,
224,134.175.48.0/20,
225,23.96.0.0/14,
226,41.111.128.0/17,
227,45.173.28.0/24,
228,162.243.0.0/17,
229,210.12.0.0/19,
230,59.46.128.0/18,
231,128.199.64.0/18,
232,139.199.44.0/23,
233,183.83.216.0/22,
234,122.252.239.0/24,
235,106.12.10.0/23,
236,45.55.192.0/18,
237,27.36.0.0/14,
238,195.122.224.0/19,
239,106.12.192.0/20,
240,60.208.0.0/13,
241,213.178.224.0/19,
242,89.46.72.0/21,
243,218.60.0.0/16,
244,148.204.0.0/17,
245,123.207.10.0/23,
246,119.45.32.0/20,
247,49.235.240.0/20,
248,106.13.6.0/23,
249,58.248.0.0/13,
250,85.172.0.0/19,
251,148.101.0.0/17,
252,49.233.96.0/20,
253,49.247.128.0/17,
254,107.175.32.0/21,
255,170.106.32.0/22,
256,218.104.224.0/19,
257,194.204.192.0/18,
258,177.22.81.0/24,
259,2.114.0.0/15,
260,167.99.192.0/20,
261,163.172.0.0/16,
262,188.152.176.0/20,
263,49.235.192.0/20,
264,60.52.64.0/18,
265,91.204.248.0/24,
266,45.84.196.0/24,
267,111.230.244.0/23,
