network_provider,asn,domain,route,type,server_info_id
6,6,1,6,isp,1547
6,6,1,6,isp,1562
6,6,1,6,isp,1563
6,6,1,6,isp,1564
6,6,1,6,isp,1589
6,6,1,6,isp,1590
6,6,1,6,isp,1591
6,6,1,6,isp,1599
6,6,1,6,isp,1600
6,6,1,6,isp,1601
6,6,1,6,isp,1618
6,6,1,6,isp,1619
6,6,1,6,isp,1620
6,6,1,6,isp,1657
6,6,1,6,isp,1687
6,6,1,6,isp,1688
6,6,1,6,isp,1689
6,6,1,6,isp,1693
6,6,1,6,isp,1703
6,6,1,6,isp,1714
6,6,1,6,isp,1715
6,6,1,6,isp,1716
6,6,1,6,isp,1718
6,6,1,6,isp,1758
6,6,1,6,isp,1777
6,6,1,6,isp,1778
6,6,1,6,isp,1779
6,6,1,6,isp,1783
6,6,1,6,isp,1791
6,6,1,6,isp,1792
6,6,1,6,isp,1793
6,6,1,6,isp,1794
6,6,1,6,isp,1830
6,6,1,6,isp,1831
6,6,1,6,isp,1832
6,6,1,6,isp,1833
6,6,1,6,isp,1861
6,6,1,6,isp,1865
6,6,1,6,isp,1866
6,6,1,6,isp,1867
6,6,1,6,isp,1905
6,6,1,6,isp,1919
6,6,1,6,isp,1920
6,6,1,6,isp,1921
6,6,1,6,isp,1945
6,6,1,6,isp,1946
6,6,1,6,isp,1947
6,6,1,6,isp,1956
6,6,1,6,isp,1974
6,6,1,6,isp,1975
6,6,1,6,isp,1976
6,6,1,6,isp,1981
6,6,1,6,isp,1982
6,6,1,6,isp,1983
6,6,1,6,isp,1986
6,6,1,6,isp,1987
6,6,1,6,isp,1988
6,6,1,6,isp,1995
6,6,1,6,isp,2005
6,6,1,6,isp,2006
6,6,1,6,isp,2007
6,6,1,6,isp,2035
6,6,1,6,isp,2038
6,6,1,6,isp,2085
6,6,1,6,isp,2129
6,6,1,6,isp,2148
6,6,1,6,isp,2149
6,6,1,6,isp,2150
6,6,1,6,isp,2166
6,6,1,6,isp,2167
6,6,1,6,isp,2168
6,6,1,6,isp,2169
6,6,1,6,isp,2182
6,6,1,6,isp,2183
6,6,1,6,isp,2184
6,6,1,6,isp,2188
