id,type,
534,AS7545,
535,AS7418,
536,AS23201,
537,AS36937,
538,AS7795,
539,AS262293,
540,AS4787,
541,AS37313,
542,AS328453,
543,AS132445,
544,AS268953,
545,AS45293,
546,AS2527,
547,AS43132,
548,AS23889,
549,AS28343,
550,AS132137,
551,AS263661,
552,AS203971,
553,AS48728,
554,AS31334,
555,AS131386,
556,AS9329,
557,AS18207,
558,AS17762,
559,AS12338,
560,AS132637,
561,AS8612,
562,AS7643,
563,AS56044,
564,AS59078,
565,AS21826,
566,AS12334,
567,AS7015,
568,AS17727,
569,AS53240,
570,AS132210,
571,AS19429,
572,AS24532,
573,AS134254,
574,AS206804,
575,AS4713,
576,AS8781,
577,AS4648,
578,AS25408,
579,AS27951,
580,AS12810,
581,AS28303,
582,AS25620,
583,AS30844,
584,AS12849,
585,AS134238,
586,AS35862,
587,AS39383,
588,AS43260,
589,AS12975,
590,AS36351,
591,AS17623,
592,AS50266,
593,AS38493,
594,AS137241,
595,AS1257,
596,AS47605,
597,AS28403,
598,AS61664,
599,AS16010,
600,AS52368,
601,AS209,
602,AS60191,
603,AS28716,
604,AS4230,
605,AS53230,
606,AS63835,
607,AS45595,
608,AS10036,
609,AS41786,
610,AS23243,
611,AS266119,
612,AS26277,
613,AS1136,
614,AS8346,
615,AS24173,
616,AS12824,
617,AS13904,
618,AS38623,
619,AS199782,
620,AS9484,
621,AS36997,
622,AS57043,
623,AS9003,
624,AS6306,
625,AS37963,
626,AS25374,
627,AS262419,
628,AS59504,
629,AS204170,
630,AS35141,
631,AS20150,
632,AS10299,
633,AS45609,
634,AS132124,
635,AS37492,
636,AS30320,
637,AS55836,
638,AS16039,
639,AS17501,
640,AS43395,
641,AS9050,
642,AS37532,
643,AS131755,
644,AS30986,
645,AS134768,
646,AS11426,
647,AS45430,
648,AS136877,
649,AS47974,
650,AS5769,
651,AS51013,
652,AS44133,
653,AS30633,
654,AS32780,
655,AS197595,
656,AS15154,
657,AS31798,
658,AS8228,
659,AS59257,
660,AS33387,
661,AS45648,
662,AS38026,
663,AS21299,
664,AS19318,
665,AS9929,
666,AS18734,
667,AS265320,
668,AS17775,
669,AS6739,
670,AS13110,
671,AS269259,
672,AS134420,
673,AS6200,
674,AS44066,
675,AS263535,
676,AS56246,
677,AS208796,
678,AS52932,
679,AS57497,
680,AS134520,
681,AS263950,
682,AS63199,
683,AS38506,
684,AS17557,
685,AS22255,
686,AS15502,
687,AS6820,
688,AS45458,
689,AS4835,
690,AS16591,
691,AS56268,
692,AS5610,
693,AS24086,
694,AS4663,
695,AS61157,
696,AS42473,
697,AS45528,
698,AS53173,
699,AS132676,
700,AS8047,
701,AS201848,
702,AS197695,
703,AS34984,
704,AS262343,
705,AS22612,
706,AS34145,
707,AS28665,
708,AS37684,
709,AS56209,
710,AS24000,
711,AS267180,
712,AS55828,
713,AS133557,
714,AS134331,
715,AS136190,
716,AS42926,
717,AS7684,
718,AS38661,
719,AS8359,
720,AS29182,
721,AS262417,
722,AS263100,
723,AS6535,
724,AS45194,
725,AS17638,
726,AS17885,
727,AS17754,
728,AS7160,
729,AS45650,
730,AS28178,
731,AS266537,
732,AS19437,
733,AS12963,
734,AS133481,
735,AS16347,
736,AS31042,
737,AS134705,
738,AS6856,
739,AS58326,
740,AS30969,
741,AS47513,
742,AS201814,
743,AS6871,
744,AS265032,
745,AS60132,
746,AS36445,
747,AS38457,
748,AS34037,
749,AS133255,
750,AS36914,
751,AS37292,
752,AS53180,
753,AS51132,
754,AS134869,
755,AS44412,
756,AS49641,
