network_provider_id,network_provider,
103,Next Telecomunicacoes do Brasil LTDA,
104,Telecom Argentina S.A.,
105,CTC. CORP S.A. (TELEFONICA EMPRESAS),
106,Brasilnet Telecomunicacoes Ltda ME,
107,PJSC MegaFon,
108,INFO TELECOM INTERNET LTDA,
109,UltraNET Ltd,
110,RouteLabel V.O.F.,
111,Telecom Algeria,
112,MUSTANET PROVEDOR DE INTERNET EIRELI,
113,CHINANET Sichuan province Chengdu MAN network,
114,Atria Convergence Technologies pvt ltd,
115,RailTel Corporation of India Ltd. Internet Service Provider New Delhi,
116,China UnicomIP network China169 Guangdong province,
117,MTS PJSC,
118,Syrian Telecom,
119,Aruba S.p.A.,
120,Instituto Politecnico Nacional,
121,PJSC Rostelecom,
122,Compania Dominicana de Telefonos,
123,ColoCrossing,
124,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,
125,COPREL TELECOM LTDA,
126,Vodafone Italia S.p.A.,
127,TM Net,
128,Witel Srl,
129,QuadraNet Enterprises LLC,
130,Agence Tunisienne dInternet,
131,ChiZhou,
132,HGC Global Communications Limited,
133,Hong Kong Broadband Network Ltd.,
134,Cincinnati Bell Telephone Company LLC,
135,FOP Khalik Andrey Volodumurovuch,
136,MobileOne Ltd. Mobile/Internet Service Provider Singapore,
137,Techtel LMDS Comunicaciones Interactivas S.A.,
138,Primetel PLC,
139,Com Hem AB,
140,Oracle Corporation,
141,EVOLUNET PROVEDORA DE INTERNET LTDA PE,
142,Telstra Corporation Ltd,
143,Netfi servicos de comunicacoes ltda epp,
144,PP Merezha,
145,VNPT Corp,
146,Telefonica del Sur S.A.,
147,CLARO S.A.,
148,Deutsche Telekom AG,
149,Microplex PTY LTD,
150,Emirates Telecommunications Corporation,
151,JSC ER-Telecom Holding,
152,RCN,
153,ShenZhen Topway Video Communication Co. Ltd,
154,MCI Communications Services d/b/a Verizon Business,
155,Cable Onda,
156,Telenor Norge AS,
157,Bredband2 AB,
158,OOO Modern Communication Systems,
159,Orange S.A.,
160,Cogent Communications,
161,Shanghai Mobile Communications Co.,
162,TELUS Communications Inc.,
163, China Telecommunications Corporation,
164,Serverius Holding B.V.,
165,EPM Telecomunicaciones S.A. E.S.P.,
166,PJSC Vimpelcom,
167,Telemar Norte Leste S.A.,
168,Orange Polska Spolka Akcyjna,
