latitude, longitude,server_info_id
1.314,103.6839,313
1.314,103.6839,314
37.5985,126.9783,315
37.5985,126.9783,316
37.5985,126.9783,317
37.5985,126.9783,318
34.7725,113.7266,319
34.7725,113.7266,320
34.7725,113.7266,321
34.7725,113.7266,322
34.7725,113.7266,323
34.7725,113.7266,324
31.0449,121.4012,325
22.2795,114.146,326
22.2795,114.146,327
22.2795,114.146,328
34.7725,113.7266,329
34.7725,113.7266,330
34.7725,113.7266,331
45.9968,24.997,332
45.9968,24.997,333
45.9968,24.997,334
51.2993,9.491,335
51.2993,9.491,336
51.2993,9.491,337
34.7725,113.7266,338
34.7725,113.7266,339
34.7725,113.7266,340
34.7725,113.7266,341
34.7725,113.7266,342
34.7725,113.7266,343
34.2598,108.9294,344
34.2598,108.9294,345
34.2598,108.9294,346
37.5985,126.9783,347
34.5997,119.1594,348
31.0449,121.4012,349
31.0449,121.4012,350
31.0449,121.4012,351
9,-80,352
9,-80,353
9,-80,354
9,-80,355
48.8582,2.3387,356
48.8582,2.3387,357
48.8582,2.3387,358
34.5997,119.1594,359
34.5997,119.1594,360
34.5997,119.1594,361
34.5997,119.1594,362
34.7725,113.7266,363
14.5501,121.036,364
34.7725,113.7266,365
34.7725,113.7266,366
34.7725,113.7266,367
42.8803,47.6383,368
42.8803,47.6383,369
42.8803,47.6383,370
42.8803,47.6383,371
34.5997,119.1594,372
31.0449,121.4012,373
31.0449,121.4012,374
31.0449,121.4012,375
22.6148,120.3139,376
34.5997,119.1594,377
34.5997,119.1594,378
34.5997,119.1594,379
34.5997,119.1594,380
34.7725,113.7266,381
34.7725,113.7266,382
34.7725,113.7266,383
34.7725,113.7266,384
51.2993,9.491,385
34.7725,113.7266,386
35.685,139.7514,387
31.0449,121.4012,388
31.0449,121.4012,389
31.0449,121.4012,390
13.0878,80.2785,391
36.0986,120.3719,392
31.0449,121.4012,393
34.7725,113.7266,394
34.7725,113.7266,395
31.0449,121.4012,396
31.0449,121.4012,397
31.0449,121.4012,398
